,setup_prob_add,setup_prob_del,setup_prob_change,setup_actual_add,setup_actual_del,setup_actual_change,predict_prob_add,predict_prob_del,predict_prob_change,predict_actual_add,predict_actual_del,predict_actual_change,update_prob_add,update_prob_del,update_prob_change,update_actual_add,update_actual_del,update_actual_change
151,0.7146000000000002,0.18539999999999998,0.14720759999999994,4,2,8,0.711115,0.18888499999999997,0.14917202999999998,11,4,21,0.70836,0.19163999999999998,0.15061560000000002,7,1,6
152,0.7218000000000001,0.17819999999999994,0.1429164,8,0,6,0.7023084581497797,0.19769154185022023,0.14729631911894275,126,89,201,0.6744956039603959,0.22550439603960398,0.1485390217821782,45,37,77
153,0.7146000000000002,0.18539999999999998,0.14720759999999994,1,2,9,0.6880160064036539,0.21198399359634618,0.1565576861152109,160,112,290,0.6536459405940597,0.2463540594059406,0.16303189069306925,36,15,54
154,0.7091999999999998,0.19079999999999991,0.15035040000000002,5,1,9,0.70776,0.19223999999999994,0.15116928,6,2,5,0.6990844815007816,0.2009155184992183,0.15534753017196454,40,25,69
155,0.7146000000000002,0.18539999999999998,0.14720759999999994,7,2,5,0.7118400000000001,0.18815999999999997,0.1488048,5,5,4,0.71004,0.18995999999999996,0.14984039999999996,4,3,5
156,0.7164,0.1835999999999999,0.14614560000000004,2,3,8,0.71604,0.1839599999999999,0.14635320000000002,6,0,5,0.7068282465665922,0.1931717534334079,0.15124247708719257,39,33,60
157,0.7289999999999999,0.17099999999999996,0.13850999999999994,5,3,4,0.7205294305694306,0.1794705694305694,0.14313453850149846,44,23,57,0.6728024694911622,0.2271975305088379,0.16530546661503395,228,181,376
158,0.7200000000000001,0.18000000000000002,0.144,2,6,6,0.72027,0.17972999999999997,0.14383518,5,5,9,0.7090090655209452,0.19099093447905477,0.14959912382384533,59,42,69
159,0.7218000000000001,0.17819999999999994,0.1429164,4,1,9,0.6813611008289958,0.21863889917100476,0.13952640755349913,332,332,802,0.66696,0.23303999999999997,0.13753439999999997,3,3,7
160,0.7146000000000002,0.18539999999999998,0.14720759999999994,2,2,10,0.6913439097744363,0.20865609022556392,0.15033348144360897,150,115,276,0.66432,0.23568,0.14132544,6,3,11
161,0.7200000000000001,0.18000000000000002,0.144,4,3,8,0.7188000000000001,0.1812,0.14470703999999998,1,5,6,0.7178400000000001,0.18216,0.1452646231578947,11,5,13
162,0.7200000000000001,0.18000000000000002,0.144,4,3,5,0.7035698767898769,0.1964301232101232,0.15115785186813188,85,59,126,0.6791724842484249,0.2208275157515751,0.1601665335013501,58,34,83
163,0.7218000000000001,0.17819999999999994,0.1429164,6,2,5,0.7138529323308271,0.18614706766917286,0.1470064114285714,36,27,69,0.7014744554455447,0.1985255445544554,0.1525887485148515,41,18,61
164,0.7146000000000002,0.18539999999999998,0.14720759999999994,7,4,4,0.7073457286432162,0.1926542713567839,0.15058282733668343,44,44,102,0.6940833096774195,0.20591669032258064,0.1561287285096774,40,35,86
165,0.7289999999999999,0.17099999999999996,0.13850999999999994,2,6,7,0.7277914285714286,0.17220857142857138,0.1392308228571428,13,7,18,0.6682293774423932,0.2317706225576068,0.1692650504370216,328,207,533
166,0.7289999999999999,0.17099999999999996,0.13850999999999994,5,2,8,0.7224345323741007,0.17756546762589925,0.14180831999999996,44,31,67,0.6701391470132398,0.22986085298676018,0.16542610130949914,269,205,429
167,0.7146000000000002,0.18539999999999998,0.14720759999999994,6,2,6,0.698508155844156,0.20149184415584415,0.1517238726233766,98,60,201,0.6829200000000001,0.21708000000000002,0.15175223999999998,6,4,3
168,0.7146000000000002,0.18539999999999998,0.14720759999999994,2,3,9,0.71328,0.18671999999999994,0.14793825391304344,14,11,10,0.7065965367965369,0.1934034632034632,0.1515590857142857,32,13,27
169,0.7308000000000002,0.1692,0.13739039999999994,6,1,8,0.7166663699494951,0.18333363005050501,0.14428782695707068,94,53,140,0.6634581415520631,0.2365418584479369,0.16446347516055357,204,128,306
170,0.7200000000000001,0.18000000000000002,0.144,7,2,5,0.7097781289611059,0.19022187103889418,0.1494239475726785,59,40,95,0.6963092202462381,0.20369077975376199,0.15587293822161422,32,20,49
171,0.7146000000000002,0.18539999999999998,0.14720759999999994,5,3,7,0.7135200000000002,0.18647999999999998,0.14783232,5,2,8,0.7012492467703915,0.19875075322960872,0.1538317230676096,72,46,108
172,0.7146000000000002,0.18539999999999998,0.14720759999999994,2,6,6,0.7005558095238096,0.19944419047619047,0.15107764799999998,86,55,157,0.6826710769230769,0.21732892307692303,0.15267468984615384,22,21,53
173,0.7146000000000002,0.18539999999999998,0.14720759999999994,2,3,9,0.7140000000000002,0.18599999999999997,0.14755151999999996,3,1,7,0.7126800000000001,0.18732,0.14831879999999995,4,5,5
174,0.7308000000000002,0.1692,0.13739039999999994,3,1,7,0.7286348936170215,0.17136510638297872,0.13868561361702123,16,9,29,0.6882057534806345,0.21179424651936568,0.1596427081350756,230,134,345
175,0.7308000000000002,0.1692,0.13739039999999994,4,0,9,0.7246688135593221,0.17533118644067794,0.1406122230508474,39,27,57,0.6848344153311213,0.21516558466887878,0.16019055363380613,200,132,362
176,0.7146000000000002,0.18539999999999998,0.14720759999999994,6,1,6,0.7129200000000002,0.18708,0.14818247999999998,5,1,5,0.7057605727620818,0.19423942723791832,0.15196357751183812,35,24,78
177,0.7272,0.1728,0.13962239999999995,5,5,4,0.7152957024793387,0.18470429752066111,0.14421602479338838,71,50,111,0.6995976237623762,0.20040237623762372,0.14808096950495048,28,23,57
178,0.7146000000000002,0.18539999999999998,0.14720759999999994,5,1,8,0.71364,0.18635999999999997,0.14776631999999995,1,3,8,0.7001382178217823,0.19986178217821776,0.15418323089108907,82,57,144
179,0.7146000000000002,0.18539999999999998,0.14720759999999994,4,1,8,0.7116440816326531,0.18835591836734691,0.14889306122448975,10,12,36,0.7005635643564359,0.19943643564356434,0.15434912079207916,54,32,110
180,0.7127999999999999,0.18719999999999995,0.1482624,2,3,9,0.7061485714285713,0.19385142857142856,0.15153011944700456,46,32,78,0.6972800000000002,0.20271999999999996,0.15518463999999993,5,3,9
181,0.7235999999999999,0.17639999999999997,0.14182559999999997,6,1,4,0.7167789999999999,0.18322099999999997,0.145560122,31,32,58,0.70617580990099,0.1938241900990099,0.15053158792871285,30,23,71
182,0.7146000000000002,0.18539999999999998,0.14720759999999994,3,3,6,0.6676969819371359,0.23230301806284948,0.13824740521689657,1902,2563,6379,0.6598040144014404,0.24019598559855984,0.14117465119711967,34,32,54
183,0.7146000000000002,0.18539999999999998,0.14720759999999994,5,2,5,0.71316,0.18683999999999998,0.14804135999999998,2,3,8,0.7090681188118813,0.1909318811881188,0.15020903049504947,23,19,69
184,0.7218000000000001,0.17819999999999994,0.1429164,3,1,8,0.7212000000000001,0.17879999999999993,0.14327424000000002,1,4,9,0.7040525080651289,0.1959474919348712,0.15173735453100706,104,69,146
185,0.7308000000000002,0.1692,0.13739039999999994,4,4,4,0.7236545454545454,0.17634545454545456,0.14104666909090907,42,12,59,0.6742563109324612,0.22574368906753886,0.16468930769848011,253,179,427
